vpdmfId	journalTitle	nlmId	abbr	ISSN
1	AADE editors' journal	7708172	AADE Ed J	0160-6999
2	AANA journal	431420	AANA J	0094-6354
3	AARN news letter	1251052	AARN News Lett	0001-0197
4	[Nihon shika hyoron] The Nippon dental review	19130390R	Nihon Shika Hyoron	0289-0909
5	Academia Peruana de Cirugia	14490460R	Acad Peru Cir	0001-3854
6	"Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale"	7503275	Acad Rev Calif Acad Periodontol	0008-0810
7	Acarologia	14510400R	Acarologia	0044-586X
8	Acquisitions medicales recentes	373054	Acquis Med Recent	0075-4463
9	Activitas nervosa superior	400662	Act Nerv Super (Praha)	0001-7604
10	Acta allergologica	370567	Acta Allergol	0001-5148
11	Acta anaesthesiologica	340732	Acta Anaesthesiol	0001-5156
12	Acta anaesthesiologica Belgica	421022	Acta Anaesthesiol Belg	0001-5164
13	Acta anaesthesiologica Scandinavica	370270	Acta Anaesthesiol Scand	0001-5172
14	Acta anaesthesiologica Scandinavica. Supplementum	370271	Acta Anaesthesiol Scand Suppl	0515-2720
15	Acta anatomica	370272	Acta Anat (Basel)	0001-5180
16	Kaibogaku zasshi. Journal of anatomy	413526	Kaibogaku Zasshi	0022-7722
17	Acta biochimica et biophysica; Academiae Scientiarum Hungaricae	67725	Acta Biochim. Biophys. Acad. Sci. Hung.	XXXX-XXXX
18	Acta biochimica Polonica	14520300R	Acta Biochim. Pol.	0001-527X
19	Across the board	9877747	Across Board (NY)	0147-1554
20	Acta biologica Academiae Scientiarum Hungaricae	370274	Acta Biol Acad Sci Hung	0001-5288
21	Academy of management review. Academy of Management	9877758	Acad Manage Rev	0363-7425
22	Acta biochimica et biophysica Hungarica	8701158	Acta Biochim. Biophys. Hung.	0237-6261
23	Acta biologiae experimentalis	1246764	Acta Biol Exp (Warsz)	0365-0820
24	Academy of Management journal. Academy of Management	7703609	Acad Manage J	0001-4273
25	Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation	8307581	Acta Belg Med Phys	0771-5684
26	Shi yan sheng wu xue bao	413570	Shi Yan Sheng Wu Xue Bao	0001-5334
27	Acta biologica Hungarica	8404358	Acta. Biol. Hung.	0236-5383
28	Acta biologica et medica	370275	Acta Biol Med (Gdansk)	0065-1087
29	Acta biologica et medica Germanica	370276	Acta Biol. Med. Ger.	0001-5318
30	Acta bio-medica de L'Ateneo parmense : organo della Societa di medicina e scienze naturali di Parma	8106323	Acta Biomed Ateneo Parmense	0392-4203
31	Acta biotheoretica	421520	Acta Biotheor.	0001-5342
32	Acta cancerologica	370300	Acta Cancerol (Lima)	1013-5545
33	Acta cardiologica	370570	Acta Cardiol	0001-5385
34	Acta chemica Scandinavica. Series A: Physical and inorganic chemistry	421761	Acta Chem Scand A	0302-4377
35	Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	421265	"Acta Chem. Scand., B, Org. Chem. Biochem."	0302-4369
36	Acta chirurgica Academiae Scientiarum Hungaricae	2984283R	Acta Chir Acad Sci Hung	0001-5431
37	Acta chirurgica Hungarica	8309977	Acta Chir Hung	0231-4614
38	Acta cardiologica. Supplementum	376316	Acta Cardiol Suppl	0373-7934
39	Acta chirurgica Belgica	370571	Acta Chir. Belg.	0001-5458
40	Acta chirurgica Italica	370303	Acta Chir Ital	0001-5466
41	Acta chirurgica Iugoslavica	372631	Acta Chir Iugosl	0354-950X
42	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	407123	Acta Chir Orthop Traumatol Cech	0001-5415
43	Acta chirurgiae plasticae	370301	Acta Chir Plast	0001-5423
