vpdmfId	viewType	locked	vpdmfLabel	vpdmfUri	namespace	thumbnail	indexTuple
1	.Journal.%	\N	AADE Ed J.	\N	\N	\N	AADE Ed J.
2	.Journal.%	\N	AANA J.	\N	\N	\N	AANA J.
3	.Journal.%	\N	AARN News Lett.	\N	\N	\N	AARN News Lett.
4	.Journal.%	\N	Nihon Shika Hyoron.	\N	\N	\N	Nihon Shika Hyoron.
5	.Journal.%	\N	Acad Peru Cir.	\N	\N	\N	Acad Peru Cir.
6	.Journal.%	\N	Acad Rev Calif Acad Periodontol.	\N	\N	\N	Acad Rev Calif Acad Periodontol.
7	.Journal.%	\N	Acarologia.	\N	\N	\N	Acarologia.
8	.Journal.%	\N	Acquis Med Recent.	\N	\N	\N	Acquis Med Recent.
9	.Journal.%	\N	Act Nerv Super (Praha).	\N	\N	\N	Act Nerv Super (Praha).
10	.Journal.%	\N	Acta Allergol.	\N	\N	\N	Acta Allergol.
11	.Journal.%	\N	Acta Anaesthesiol.	\N	\N	\N	Acta Anaesthesiol.
12	.Journal.%	\N	Acta Anaesthesiol Belg.	\N	\N	\N	Acta Anaesthesiol Belg.
13	.Journal.%	\N	Acta Anaesthesiol Scand.	\N	\N	\N	Acta Anaesthesiol Scand.
14	.Journal.%	\N	Acta Anaesthesiol Scand Suppl.	\N	\N	\N	Acta Anaesthesiol Scand Suppl.
15	.Journal.%	\N	Acta Anat (Basel).	\N	\N	\N	Acta Anat (Basel).
16	.Journal.%	\N	Kaibogaku Zasshi.	\N	\N	\N	Kaibogaku Zasshi.
17	.Journal.%	\N	Acta Biochim. Biophys. Acad. Sci. Hung..	\N	\N	\N	Acta Biochim. Biophys. Acad. Sci. Hung..
18	.Journal.%	\N	Acta Biochim. Pol..	\N	\N	\N	Acta Biochim. Pol..
19	.Journal.%	\N	Across Board (NY).	\N	\N	\N	Across Board (NY).
20	.Journal.%	\N	Acta Biol Acad Sci Hung.	\N	\N	\N	Acta Biol Acad Sci Hung.
21	.Journal.%	\N	Acad Manage Rev.	\N	\N	\N	Acad Manage Rev.
22	.Journal.%	\N	Acta Biochim. Biophys. Hung..	\N	\N	\N	Acta Biochim. Biophys. Hung..
23	.Journal.%	\N	Acta Biol Exp (Warsz).	\N	\N	\N	Acta Biol Exp (Warsz).
24	.Journal.%	\N	Acad Manage J.	\N	\N	\N	Acad Manage J.
25	.Journal.%	\N	Acta Belg Med Phys.	\N	\N	\N	Acta Belg Med Phys.
26	.Journal.%	\N	Shi Yan Sheng Wu Xue Bao.	\N	\N	\N	Shi Yan Sheng Wu Xue Bao.
27	.Journal.%	\N	Acta. Biol. Hung..	\N	\N	\N	Acta. Biol. Hung..
28	.Journal.%	\N	Acta Biol Med (Gdansk).	\N	\N	\N	Acta Biol Med (Gdansk).
29	.Journal.%	\N	Acta Biol. Med. Ger..	\N	\N	\N	Acta Biol. Med. Ger..
30	.Journal.%	\N	Acta Biomed Ateneo Parmense.	\N	\N	\N	Acta Biomed Ateneo Parmense.
31	.Journal.%	\N	Acta Biotheor..	\N	\N	\N	Acta Biotheor..
32	.Journal.%	\N	Acta Cancerol (Lima).	\N	\N	\N	Acta Cancerol (Lima).
33	.Journal.%	\N	Acta Cardiol.	\N	\N	\N	Acta Cardiol.
34	.Journal.%	\N	Acta Chem Scand A.	\N	\N	\N	Acta Chem Scand A.
35	.Journal.%	\N	Acta Chem. Scand., B, Org. Chem. Biochem..	\N	\N	\N	Acta Chem. Scand., B, Org. Chem. Biochem..
36	.Journal.%	\N	Acta Chir Acad Sci Hung.	\N	\N	\N	Acta Chir Acad Sci Hung.
37	.Journal.%	\N	Acta Chir Hung.	\N	\N	\N	Acta Chir Hung.
38	.Journal.%	\N	Acta Cardiol Suppl.	\N	\N	\N	Acta Cardiol Suppl.
39	.Journal.%	\N	Acta Chir. Belg..	\N	\N	\N	Acta Chir. Belg..
40	.Journal.%	\N	Acta Chir Ital.	\N	\N	\N	Acta Chir Ital.
41	.Journal.%	\N	Acta Chir Iugosl.	\N	\N	\N	Acta Chir Iugosl.
42	.Journal.%	\N	Acta Chir Orthop Traumatol Cech.	\N	\N	\N	Acta Chir Orthop Traumatol Cech.
43	.Journal.%	\N	Acta Chir Plast.	\N	\N	\N	Acta Chir Plast.
44	.Journal.%	\N	Acta Chir Scand.	\N	\N	\N	Acta Chir Scand.
45	.Journal.%	\N	Acta Chir Scand Suppl.	\N	\N	\N	Acta Chir Scand Suppl.
46	.Journal.%	\N	Acta Cient. Venez..	\N	\N	\N	Acta Cient. Venez..
47	.Journal.%	\N	Acta Clin Belg.	\N	\N	\N	Acta Clin Belg.
48	.Journal.%	\N	Acta Clin Belg Suppl.	\N	\N	\N	Acta Clin Belg Suppl.
49	.Journal.%	\N	Acta Clin Odontol.	\N	\N	\N	Acta Clin Odontol.
50	.Journal.%	\N	Acta Crystallogr.	\N	\N	\N	Acta Crystallogr.
