bmkegId	volume	issue	journal_id
32106	139	3	4668
32109	139	3	4668
32111	139	3	4668
32117	139	3	4668
32119	139	3	4668
32122	139	3	4668
32124	139	2	4668
32128	139	2	4668
32131	139	2	4668
32134	139	2	4668
32136	139	2	4668
32138	139	1	4668
32143	139	1	4668
32146	139	1	4668
32148	139	1	4668
32151	139	1	4668
32154	139	1	4668
32156	139	1	4668
32159	138	4	4668
32161	138	4	4668
32164	138	4	4668
32166	138	4	4668
32171	138	4	4668
32173	138	3	4668
32175	138	3	4668
32178	138	3	4668
32181	138	3	4668
32183	138	3	4668
32185	138	3	4668
32188	138	2	4668
32190	138	2	4668
32193	138	2	4668
32195	138	2	4668
32197	138	2	4668
32200	138	2	4668
32202	138	2	4668
32205	138	1	4668
32207	138	1	4668
32210	138	1	4668
32213	138	1	4668
32216	138	1	4668
32219	138	1	4668
32220	138	1	4668
32223	138	1	4668
32308	141	3	4668
32310	141	3	4668
32312	141	3	4668
32315	141	3	4668
32316	141	3	4668
32318	141	3	4668
32320	141	2	4668
32324	141	2	4668
32330	141	2	4668
32333	141	2	4668
32336	141	1	4668
32338	141	1	4668
32342	141	1	4668
32344	141	1	4668
32347	141	1	4668
32350	141	1	4668
32352	141	1	4668
32355	141	1	4668
32358	141	1	4668
32361	140	4	4668
32364	140	4	4668
32368	140	4	4668
32370	140	3	4668
32372	140	3	4668
32375	140	3	4668
32377	140	3	4668
32379	140	3	4668
32381	140	3	4668
32383	140	3	4668
32385	140	2	4668
32387	140	2	4668
32390	140	2	4668
32392	140	2	4668
32393	140	1	4668
32397	140	1	4668
32400	140	1	4668
32403	140	1	4668
32404	140	1	4668
32408	140	1	4668
32411	140	1	4668
32412	139	4	4668
32415	139	4	4668
32417	139	4	4668
32418	139	4	4668
32420	139	4	4668
32422	139	4	4668
32426	139	3	4668
32429	143	3	4668
32431	143	3	4668
32433	143	3	4668
32436	143	3	4668
32440	143	3	4668
32442	143	2	4668
32443	143	2	4668
32446	143	2	4668
32449	143	2	4668
32451	143	2	4668
32454	143	1	4668
32456	143	1	4668
32458	143	1	4668
32461	143	1	4668
32463	143	1	4668
32466	143	1	4668
32469	143	1	4668
32472	142	4	4668
32475	142	4	4668
32479	142	4	4668
32484	142	4	4668
32486	142	4	4668
32488	142	4	4668
32490	142	3	4668
32493	142	3	4668
32496	142	3	4668
32499	142	3	4668
32503	142	3	4668
32504	142	3	4668
32506	142	2	4668
32508	142	2	4668
32512	142	2	4668
32514	142	2	4668
32515	142	2	4668
32516	142	2	4668
32517	142	2	4668
32521	142	2	4668
32523	142	2	4668
32524	142	2	4668
32526	142	2	4668
32527	142	2	4668
32528	142	2	4668
32529	142	2	4668
32530	142	1	4668
32534	142	1	4668
32536	142	1	4668
32540	142	1	4668
32543	142	1	4668
32546	142	1	4668
32549	141	4	4668
32551	141	4	4668
32555	141	4	4668
32556	141	4	4668
32558	141	4	4668
32559	141	4	4668
32561	143	4	4668
32563	145	4	4668
32565	145	4	4668
32569	145	4	4668
32570	145	3	4668
32572	145	3	4668
32573	145	3	4668
32576	145	3	4668
32577	145	2	4668
32579	145	2	4668
32581	145	2	4668
32583	145	2	4668
32584	145	2	4668
32585	145	2	4668
32588	145	2	4668
32591	145	1	4668
32593	145	1	4668
32596	145	1	4668
32598	145	1	4668
32599	145	1	4668
32603	145	1	4668
32605	144	4	4668
32607	144	4	4668
32608	144	4	4668
32609	144	4	4668
32611	144	4	4668
32612	144	4	4668
32613	144	4	4668
32614	144	4	4668
32615	144	4	4668
32617	144	4	4668
32618	144	3	4668
32620	144	3	4668
32622	144	3	4668
32624	144	3	4668
32626	144	3	4668
32628	144	3	4668
32631	144	3	4668
32633	144	2	4668
32634	144	2	4668
32636	144	2	4668
32637	144	2	4668
32640	144	2	4668
32641	144	2	4668
32644	144	1	4668
32645	144	1	4668
32648	144	1	4668
32650	144	1	4668
32651	144	1	4668
32654	143	4	4668
32656	143	4	4668
32661	143	4	4668
32662	143	4	4668
32663	143	3	4668
32666	147	4	4668
32669	147	4	4668
32670	147	4	4668
32675	147	4	4668
32676	147	4	4668
32678	147	3	4668
32680	147	3	4668
32682	147	3	4668
32683	147	3	4668
32684	147	2	4668
32686	147	2	4668
32689	147	2	4668
32691	147	2	4668
32692	147	2	4668
32694	147	2	4668
32696	147	2	4668
32697	147	1	4668
32698	147	1	4668
32699	147	1	4668
32701	147	1	4668
32703	147	1	4668
32704	147	1	4668
32707	146	4	4668
32709	146	4	4668
32710	146	4	4668
32712	146	4	4668
32714	146	4	4668
32717	146	4	4668
32720	146	3	4668
32721	146	3	4668
32723	146	3	4668
32726	146	3	4668
32728	146	3	4668
32729	146	2	4668
32730	146	2	4668
32733	146	2	4668
32735	146	2	4668
32738	146	2	4668
32740	146	2	4668
32742	146	2	4668
32743	146	1	4668
32745	146	1	4668
32747	146	1	4668
32749	146	1	4668
32752	146	1	4668
32754	146	1	4668
32755	146	1	4668
32758	149	4	4668
32759	149	4	4668
32761	149	3	4668
32763	149	3	4668
32766	149	3	4668
32768	149	3	4668
32769	149	3	4668
32771	149	2	4668
32775	149	2	4668
32778	149	2	4668
32781	149	2	4668
32785	149	2	4668
32790	149	2	4668
32791	149	2	4668
32792	149	2	4668
32793	149	1	4668
32794	149	1	4668
32796	149	1	4668
32799	149	1	4668
32800	149	1	4668
32801	148	4	4668
32802	148	4	4668
32804	148	4	4668
32805	148	4	4668
32806	148	4	4668
32808	148	4	4668
32809	148	3	4668
32810	148	3	4668
32813	148	3	4668
32815	148	3	4668
32817	148	2	4668
32821	148	2	4668
32825	148	2	4668
32830	148	2	4668
32832	148	2	4668
32833	148	2	4668
32835	148	2	4668
32838	148	2	4668
32840	148	1	4668
32842	148	1	4668
32845	148	1	4668
32847	148	1	4668
32848	148	1	4668
32849	148	1	4668
32850	147	4	4668
32853	147	4	4668
32856	147	4	4668
32857	152	1	4668
32858	152	1	4668
32860	152	1	4668
32861	152	1	4668
32862	152	1	4668
32864	151	4	4668
32865	151	4	4668
32868	151	4	4668
32870	151	4	4668
32873	151	4	4668
32874	151	4	4668
32877	151	3	4668
32879	151	3	4668
32882	151	3	4668
32883	151	3	4668
32885	151	2	4668
32887	151	2	4668
32890	151	2	4668
32893	151	2	4668
32895	151	1	4668
32897	151	1	4668
32900	151	1	4668
32901	151	1	4668
32903	151	1	4668
32906	151	1	4668
32908	150	4	4668
32912	150	4	4668
32913	150	3	4668
32916	150	3	4668
32919	150	3	4668
32921	150	3	4668
32923	150	3	4668
32927	150	4	4668
32929	150	3	4668
32931	150	2	4668
32933	150	2	4668
32935	150	2	4668
32937	150	2	4668
32941	150	2	4668
32942	150	2	4668
32945	150	2	4668
32946	150	1	4668
32948	150	1	4668
32950	150	1	4668
32952	150	1	4668
32954	149	4	4668
32955	149	4	4668
32957	149	4	4668
32958	154	3	4668
32959	154	3	4668
32961	154	2	4668
32963	154	2	4668
32964	154	2	4668
32966	154	2	4668
32967	154	2	4668
32968	154	2	4668
32970	154	1	4668
32972	154	1	4668
32973	154	1	4668
32975	154	1	4668
32979	154	1	4668
32982	153	4	4668
32985	153	4	4668
32987	153	4	4668
32988	153	4	4668
32989	153	3	4668
32992	153	3	4668
32993	153	3	4668
32995	153	3	4668
32997	153	2	4668
32999	153	2	4668
33001	153	2	4668
33002	153	2	4668
33003	153	1	4668
33006	153	1	4668
33009	153	1	4668
33013	153	1	4668
33016	153	1	4668
33018	153	1	4668
33021	152	4	4668
33025	152	4	4668
33027	152	4	4668
33031	152	4	4668
33033	152	4	4668
33035	152	3	4668
33037	152	3	4668
33039	152	3	4668
33040	152	3	4668
33042	152	3	4668
33043	152	2	4668
33045	152	2	4668
33048	152	2	4668
33052	152	2	4668
33053	152	2	4668
33055	152	2	4668
33056	156	3	4668
33057	156	3	4668
33058	156	1	4668
33059	156	1	4668
33060	156	1	4668
33064	156	1	4668
33065	156	1	4668
33068	156	1	4668
33070	156	2	4668
33072	156	1	4668
33074	156	2	4668
33076	156	2	4668
33078	156	2	4668
33080	156	2	4668
33083	156	2	4668
33085	156	1	4668
33087	155	4	4668
33090	155	4	4668
33092	155	4	4668
33094	155	4	4668
33095	155	4	4668
33097	155	3	4668
33099	155	3	4668
33101	155	3	4668
33102	155	3	4668
33104	155	2	4668
33106	155	2	4668
33107	155	2	4668
33110	155	2	4668
33111	155	2	4668
33114	155	2	4668
33115	155	1	4668
33117	155	1	4668
33119	155	1	4668
33122	155	1	4668
33125	155	1	4668
33126	155	1	4668
33127	154	4	4668
33128	154	4	4668
33129	154	4	4668
33130	154	4	4668
33132	154	4	4668
33134	154	3	4668
33139	154	3	4668
33143	154	3	4668
33145	154	3	4668
33148	158	4	4668
33151	158	4	4668
33153	158	3	4668
33154	158	3	4668
33156	158	3	4668
33157	158	3	4668
33158	158	3	4668
33159	158	3	4668
33162	158	3	4668
33163	158	2	4668
33165	158	2	4668
33168	158	2	4668
33171	158	2	4668
33172	158	2	4668
33175	158	2	4668
33176	158	1	4668
33179	158	1	4668
33180	158	1	4668
33182	158	1	4668
33183	158	1	4668
33186	158	1	4668
33187	157	4	4668
33188	157	4	4668
33189	157	4	4668
33193	157	4	4668
33195	157	4	4668
33197	157	4	4668
33200	157	3	4668
33203	157	3	4668
33205	157	3	4668
33207	157	2	4668
33209	157	2	4668
33210	157	2	4668
33213	157	2	4668
33216	157	1	4668
33219	157	1	4668
33220	157	1	4668
33222	157	1	4668
33224	157	1	4668
33225	157	1	4668
33228	156	4	4668
33229	156	4	4668
33230	156	4	4668
33233	156	4	4668
33237	156	4	4668
33238	156	3	4668
33241	156	3	4668
33243	160	3	4668
33245	160	3	4668
33247	160	3	4668
33249	160	3	4668
33254	160	3	4668
33257	160	3	4668
33259	160	2	4668
33260	160	2	4668
33261	160	2	4668
33262	160	1	4668
33264	160	1	4668
33266	160	1	4668
33267	160	1	4668
33268	160	1	4668
33270	160	1	4668
33273	160	1	4668
33274	159	4	4668
33276	159	4	4668
33279	159	4	4668
33280	159	4	4668
33282	159	4	4668
33283	159	4	4668
33285	159	3	4668
33290	159	3	4668
33292	159	3	4668
33294	159	3	4668
33296	159	3	4668
33298	159	2	4668
33300	159	2	4668
33302	159	2	4668
33305	159	2	4668
33306	159	2	4668
33307	159	1	4668
33310	159	1	4668
33311	159	1	4668
33314	159	1	4668
33317	159	1	4668
33319	159	1	4668
33323	159	1	4668
33325	158	4	4668
33327	158	4	4668
33329	158	4	4668
33331	162	2	4668
33334	162	2	4668
33335	161	4	4668
33338	161	4	4668
33339	161	4	4668
33342	161	4	4668
33343	161	4	4668
33346	161	4	4668
33348	161	4	4668
33350	161	3	4668
33354	161	3	4668
33357	161	3	4668
33359	161	3	4668
33366	161	3	4668
33368	161	3	4668
33369	161	3	4668
33371	161	3	4668
33374	161	3	4668
33375	161	3	4668
33377	161	2	4668
33380	161	2	4668
33381	161	2	4668
33382	161	2	4668
33384	161	2	4668
33386	161	2	4668
33389	161	2	4668
33391	161	1	4668
33392	161	1	4668
33393	161	1	4668
33395	161	1	4668
33397	161	1	4668
33400	161	1	4668
33403	161	1	4668
33406	160	4	4668
33407	160	4	4668
33410	160	4	4668
33411	160	4	4668
33415	160	4	4668
33416	160	4	4668
33417	160	4	4668
33420	164	1	4668
33423	164	1	4668
33424	164	1	4668
33427	164	1	4668
33428	164	1	4668
33429	164	1	4668
33431	164	1	4668
33434	163	4	4668
33436	163	4	4668
33437	163	4	4668
33439	163	4	4668
33441	163	4	4668
33443	163	3	4668
33445	163	3	4668
33446	163	3	4668
33448	163	3	4668
33449	163	3	4668
33450	163	2	4668
33452	163	2	4668
33453	163	2	4668
33454	163	2	4668
33457	163	2	4668
33458	163	2	4668
33461	163	1	4668
33464	163	1	4668
33466	163	1	4668
33467	163	1	4668
33469	163	1	4668
33470	162	4	4668
33472	162	4	4668
33473	162	4	4668
33475	162	4	4668
33477	162	4	4668
33481	162	4	4668
33484	162	4	4668
33488	162	3	4668
33490	162	3	4668
33494	162	3	4668
33496	162	3	4668
33499	162	3	4668
33500	162	3	4668
33502	162	3	4668
33504	162	2	4668
33508	162	2	4668
33509	162	2	4668
33511	162	2	4668
33514	165	4	4668
33516	165	4	4668
33517	165	4	4668
33519	165	4	4668
33522	165	3	4668
33523	165	3	4668
33525	165	3	4668
33527	165	3	4668
33530	165	3	4668
33532	165	3	4668
33534	165	2	4668
33537	165	2	4668
33542	165	2	4668
33543	165	2	4668
33544	165	2	4668
33546	165	2	4668
33550	165	2	4668
33554	165	2	4668
33556	165	1	4668
33559	165	1	4668
33560	165	1	4668
33561	165	1	4668
33562	165	1	4668
33563	165	1	4668
33565	165	1	4668
33569	165	1	4668
33570	164	4	4668
33573	164	4	4668
33575	164	4	4668
33576	164	4	4668
33579	164	4	4668
33581	164	4	4668
33582	164	4	4668
33583	164	3	4668
33585	164	3	4668
33586	164	3	4668
33588	164	3	4668
33589	164	3	4668
33594	164	3	4668
33596	164	3	4668
33597	164	2	4668
33600	164	2	4668
33602	164	2	4668
33604	164	2	4668
33606	164	1	4668
33610	164	1	4668
33613	167	4	4668
33615	167	4	4668
33617	167	3	4668
33619	167	3	4668
33621	167	3	4668
33622	167	3	4668
33623	167	2	4668
33625	167	2	4668
33626	167	2	4668
33628	167	2	4668
33629	167	2	4668
33630	167	1	4668
33633	167	1	4668
33635	167	1	4668
33637	167	1	4668
33639	167	1	4668
33641	167	1	4668
33643	166	4	4668
33647	166	4	4668
33650	166	4	4668
33653	166	4	4668
33655	166	4	4668
33656	166	4	4668
33658	166	4	4668
33661	166	4	4668
33666	166	3	4668
33668	166	3	4668
33670	166	3	4668
33673	166	3	4668
33675	166	3	4668
33676	166	2	4668
33677	166	2	4668
33678	166	2	4668
33680	166	2	4668
33681	166	2	4668
33682	166	2	4668
33683	166	1	4668
33684	166	1	4668
33685	166	1	4668
33686	166	1	4668
33689	166	1	4668
33690	166	1	4668
33692	166	1	4668
33693	165	4	4668
33694	170	1	4668
33697	170	1	4668
33698	170	1	4668
33702	169	4	4668
33705	169	4	4668
33707	169	4	4668
33708	169	4	4668
33709	169	3	4668
33711	169	3	4668
33713	169	3	4668
33716	169	3	4668
33717	169	3	4668
33720	169	3	4668
33722	169	2	4668
33724	169	2	4668
33725	169	2	4668
33726	169	2	4668
33727	169	2	4668
33728	169	1	4668
33730	169	1	4668
33731	169	1	4668
33732	169	1	4668
33734	169	1	4668
33736	168	4	4668
33737	168	4	4668
33741	168	3	4668
33743	168	3	4668
33746	168	3	4668
33747	168	3	4668
33748	168	3	4668
33752	168	3	4668
33754	168	2	4668
33756	168	2	4668
33757	168	2	4668
33758	168	2	4668
33759	168	1	4668
33760	168	1	4668
33763	168	1	4668
33765	168	1	4668
33767	168	1	4668
33769	167	4	4668
33771	167	4	4668
33774	167	4	4668
33775	167	4	4668
33776	171	2	4668
33779	171	2	4668
33780	171	2	4668
33782	171	2	4668
33784	171	2	4668
33788	171	2	4668
33789	171	2	4668
33791	171	2	4668
33792	171	1	4668
33794	171	1	4668
33796	171	1	4668
33798	171	1	4668
33799	171	1	4668
33800	171	1	4668
33802	171	1	4668
33808	170	4	4668
33812	170	4	4668
33814	170	4	4668
33817	170	4	4668
33819	170	4	4668
33821	170	4	4668
33824	170	3	4668
33826	170	3	4668
33827	170	3	4668
33830	170	3	4668
33831	170	3	4668
33832	170	3	4668
33838	170	3	4668
33839	170	3	4668
33842	170	2	4668
33844	170	2	4668
33846	170	2	4668
33848	170	2	4668
33850	170	2	4668
33851	170	2	4668
33854	170	2	4668
33857	170	2	4668
33859	170	2	4668
33860	170	1	4668
33862	170	1	4668
33864	170	1	4668
33865	170	1	4668
33866	173	1	4668
33868	173	1	4668
33869	173	1	4668
33870	172	4	4668
33871	172	4	4668
33872	172	4	4668
33877	172	4	4668
33878	172	4	4668
33880	172	4	4668
33882	172	4	4668
33886	172	3	4668
33889	172	3	4668
33893	172	3	4668
33894	172	3	4668
33895	172	3	4668
33897	172	3	4668
33899	172	2	4668
33902	172	2	4668
33904	172	2	4668
33906	172	2	4668
33907	172	2	4668
33909	172	2	4668
33910	172	2	4668
33911	172	2	4668
33913	172	2	4668
33914	172	2	4668
33917	172	1	4668
33919	172	1	4668
33921	172	1	4668
33923	172	1	4668
33924	172	1	4668
33925	172	1	4668
33927	172	1	4668
33930	172	1	4668
33932	171	4	4668
33936	171	4	4668
33937	171	4	4668
33940	171	4	4668
33941	171	4	4668
33945	171	4	4668
33948	171	4	4668
33951	171	4	4668
33953	171	4	4668
33956	171	4	4668
33957	171	4	4668
