bmkegId	value
237	Animals
238	Brain Stem
239	Cervical Vertebrae
240	Dogs
241	Laterality
242	Medulla Oblongata
243	Nerve Degeneration
244	Neural Pathways
245	Olivary Nucleus
246	Spinal Cord
247	Thalamus
248	Cats
249	Cell Count
250	Hypothalamus
251	"Neurons, Afferent"
252	"Neurons, Efferent"
253	Auditory Cortex
254	Brain Mapping
255	Cerebral Cortex
256	Geniculate Bodies
257	Insectivora
258	Species Specificity
259	Visual Cortex
260	Axons
261	Histological Techniques
262	"Microscopy, Electron"
263	Rats
264	Synapses
265	"Ganglia, Spinal"
266	Haplorhini
267	Male
268	"Nerve Fibers, Myelinated"
269	Sensation
270	Skin
271	Spinal Nerves
272	Synaptic Transmission
273	"Anatomy, Comparative"
274	Diencephalon
275	Mesencephalon
276	Nervous System
277	Silver
278	Staining and Labeling
279	Marsupialia
280	Pyramidal Tracts
281	"Animals, Newborn"
282	Cell Differentiation
283	Cell Division
284	Cell Movement
285	DNA
286	Female
287	Hamsters
288	Mitosis
289	Parietal Lobe
290	Thymidine
291	Tritium
292	Electric Stimulation
293	Facial Muscles
294	Hypoglossal Nerve
295	Nerve Endings
296	Reticular Formation
297	Trigeminal Nerve
298	Corpora Quadrigemina
299	Facial Nerve
300	Opossums
301	Pons
302	Red Nucleus
303	Chick Embryo
304	"Transplantation, Homologous"
305	Adult
306	Aged
307	Humans
308	"Infant, Newborn"
309	Middle Aged
310	Neurons
311	Pregnancy
312	Crustacea
313	Carotid Arteries
314	Cerebral Arteries
315	Circle of Willis
316	Methods
317	Cochlea
318	Epithelium
319	Organ of Corti
320	Cerebral Ventricles
321	Dendrites
322	Autoradiography
323	Corpus Callosum
324	Neuroglia
325	Cranial Nerves
326	Frontal Lobe
327	Motor Neurons
328	Nerve Fibe
329	"rs, Myelinated"
330	Xenarthra
331	Cerebellar Cortex
332	Mice
333	Myelin Sheath
334	Purkinje Cells
335	Age Factors
336	Basement Membrane
337	Hippocampus
338	Limbic System
339	Microtomy
340	Accessory Nerve
341	Lumbar Vertebrae
342	Sacrum
343	Thoracic Vertebrae
344	Collagen
345	Muscles
346	Organoids
347	Tendons
348	Cytoplasm
349	RNA
350	Sciatic Nerve
351	Oculomotor Nerve
352	Stereotaxic Techniques
353	Swine
354	Globus Pallidus
355	Gyrus Cinguli
356	Brain
357	Cerebral Decortication
358	Dihydroxyphenylalanine
359	Hyperkinesis
360	Parkinson Disease
361	Primates
362	Substantia Nigra
363	Occipital Lobe
364	Temporal Lobe
365	Amygdala
