bmkegId	affiliation	lastName	initials
32107	\N	Hagg	S
32108	\N	Ha	H
32110	\N	Fry	WJ
32112	\N	Diamond	IT
32113	\N	Snyder	M
32114	\N	Killackey	H
32115	\N	Jane	J
32116	\N	Hall	WC
32118	\N	Westrum	LE
32120	\N	Kirk	EJ
32121	\N	Denny-Brown	D
32123	\N	Chi	CC
32125	\N	Martin	GF
32126	\N	Megirian	D
32127	\N	Roebuck	A
32129	\N	Shimada	M
32130	\N	Langman	J
32132	\N	Mizuno	N
32133	\N	Sauerland	EK
32135	\N	Dom	R
32137	\N	Narayanan	CH
32139	\N	Truex	RC
32140	\N	Taylor	MJ
32141	\N	Smythe	MQ
32142	\N	Gildenberg	PL
32144	\N	Skobe	Z
32145	\N	Nunnemacher	RF
32147	\N	Scremin	OU
32149	\N	Pujol	R
32150	\N	Marty	R
32152	\N	Hamilton	BL
32153	\N	Skultety	FM
32155	\N	Loewy	AD
32157	\N	Mori	S
32158	\N	Leblond	CP
32160	\N	Harting	JK
32162	\N	Larramendi	LM
32163	\N	Lemkey-Johnston	N
32165	\N	Haden	CC
32167	\N	Blackstad	TW
32168	\N	Brink	K
32169	\N	Hem	J
32170	\N	Jeune	B
32172	\N	Matsushita	M
32174	\N	Bridgman	CF
32176	\N	Martinez	J
32177	\N	Friede	RL
32179	\N	Otabe	JS
32180	\N	Horowitz	A
32182	\N	Locke	S
32184	\N	Mettler	FA
32186	\N	MacLean	PD
32187	\N	Creswell	G
32189	\N	Carey	JH
32191	\N	Niimi	K
32192	\N	Sprague	JM
32194	\N	Somers	ME
32196	\N	Jacobs	MJ
32198	\N	Rafols	JA
32199	\N	Matzke	HA
32201	\N	Tunturi	AR
32203	\N	Braitenberg	V
32204	\N	Kemali	M
32206	\N	Seabrook	WD
32208	\N	Tigges	M
32209	\N	Tigges	J
32211	\N	Laemle	LK
32212	\N	Noback	CR
32214	\N	Caley	DW
32215	\N	Maxwell	DS
32217	\N	Strominger	NL
32218	\N	Oesterreich	RE
32221	\N	Gutrecht	JA
32222	\N	Dyck	PJ
32224	\N	Welsh	JH
32225	\N	Williams	LD
32309	\N	Eichler	VB
32311	\N	Peters	A
32313	\N	Scott	JW
32314	\N	Leonard	CM
32317	\N	Rakic	P
32319	\N	Roberts	PA
32321	\N	Jacobs	MS
32322	\N	Morgane	PJ
32323	\N	McFarland	WL
32325	\N	McQuiston	RW
32326	\N	Ivens	C
32327	\N	Lever	JD
32328	\N	Spriggs	TL
32329	\N	Graham	JD
32331	\N	Benevento	LA
32332	\N	Ebner	FF
32334	\N	Skoff	RP
32335	\N	Vaughn	JE
32337	\N	Ives	WR
32339	\N	Horiuchi	E
32340	\N	Hayashi	H
32341	\N	Takahashi	I
32343	\N	Wilson	DB
32345	\N	Tulsi	RS
32346	\N	Coggeshall	RE
32348	\N	Cabral	RJ
32349	\N	Johnson	JI
32351	\N	Weis	P
32353	\N	Bernardis	LL
