bmkegId	vpdmfOrder	authorList_id	publishedWork_id
107	0	32107	32106
108	1	32108	32106
109	0	32110	32109
110	0	32112	32111
111	1	32113	32111
112	2	32114	32111
113	3	32115	32111
114	4	32116	32111
115	0	32118	32117
116	0	32120	32119
117	1	32121	32119
118	0	32123	32122
119	0	32125	32124
120	1	32126	32124
121	2	32127	32124
122	0	32129	32128
123	1	32130	32128
124	0	32132	32131
125	1	32133	32131
126	0	32125	32134
127	1	32135	32134
128	0	32137	32136
129	0	32139	32138
130	1	32140	32138
131	2	32141	32138
132	3	32142	32138
133	0	32144	32143
134	1	32145	32143
135	0	32147	32146
136	0	32149	32148
137	1	32150	32148
138	0	32152	32151
139	1	32153	32151
140	0	32155	32154
141	0	32157	32156
142	1	32158	32156
143	0	32160	32159
144	1	32125	32159
145	0	32162	32161
146	1	32163	32161
147	0	32130	32164
148	1	32165	32164
149	0	32167	32166
150	1	32168	32166
151	2	32169	32166
152	3	32170	32166
153	0	32172	32171
154	0	32174	32173
155	0	32176	32175
156	1	32177	32175
157	0	32179	32178
158	1	32180	32178
159	0	32182	32181
160	0	32184	32183
161	0	32186	32185
162	1	32187	32185
163	0	32189	32188
164	0	32191	32190
165	1	32192	32190
166	0	32194	32193
167	1	32145	32193
168	0	32196	32195
169	0	32198	32197
170	1	32199	32197
171	0	32201	32200
172	0	32203	32202
173	1	32204	32202
174	0	32206	32205
175	0	32208	32207
176	1	32209	32207
177	0	32211	32210
178	1	32212	32210
179	0	32214	32213
180	1	32215	32213
181	0	32217	32216
182	1	32218	32216
183	0	32125	32219
184	1	32135	32219
185	0	32221	32220
186	1	32222	32220
187	0	32224	32223
188	1	32225	32223
249	0	32309	32308
250	0	32311	32310
251	0	32313	32312
252	1	32314	32312
253	0	32314	32315
254	1	32313	32315
255	0	32317	32316
256	0	32319	32318
257	1	32199	32318
258	0	32321	32320
259	1	32322	32320
260	2	32323	32320
261	0	32325	32324
262	1	32326	32324
263	2	32327	32324
264	3	32328	32324
265	4	32329	32324
266	0	32331	32330
267	1	32332	32330
268	0	32334	32333
269	1	32335	32333
270	0	32337	32336
271	0	32339	32338
272	1	32340	32338
273	2	32341	32338
274	0	32343	32342
275	0	32345	32344
276	1	32346	32344
277	0	32348	32347
278	1	32349	32347
279	0	32351	32350
280	0	32353	32352
281	1	32354	32352
282	0	32356	32355
283	1	32357	32355
284	0	32359	32358
285	1	32360	32358
286	0	32362	32361
287	1	32363	32361
288	0	32365	32364
289	1	32366	32364
290	2	32367	32364
291	0	32369	32368
292	0	32371	32370
293	0	32373	32372
294	1	32374	32372
295	0	32374	32375
296	1	32376	32375
297	0	32374	32377
298	1	32376	32377
299	2	32373	32377
300	3	32378	32377
301	0	32380	32379
302	0	32382	32381
303	0	32382	32383
304	1	32384	32383
305	0	32335	32385
306	1	32386	32385
307	0	32388	32387
308	1	32389	32387
309	0	32335	32390
310	1	32391	32390
311	2	32334	32390
312	0	32108	32392
313	0	32394	32393
314	1	32395	32393
315	2	32396	32393
316	0	32398	32397
317	1	32399	32397
318	0	32401	32400
319	1	32402	32400
320	0	32402	32403
321	1	32401	32403
322	0	32405	32404
323	1	32406	32404
324	2	32407	32404
325	0	32409	32408
326	1	32410	32408
327	0	32116	32411
328	1	32332	32411
329	0	32413	32412
330	1	32414	32412
331	0	32405	32415
332	1	32416	32415
333	0	32132	32417
334	0	32419	32418
335	1	32380	32418
336	0	32317	32420
337	1	32421	32420
338	0	32423	32422
339	1	32424	32422
340	2	32425	32422
341	0	32427	32426
342	1	32428	32426
343	0	32430	32429
344	0	32432	32431
345	0	32191	32433
346	1	32434	32433
347	2	32435	32433
348	0	32437	32436
349	1	32438	32436
350	2	32439	32436
351	0	32441	32440
352	1	32182	32440
353	0	32331	32442
354	1	32332	32442
355	0	32444	32443
356	1	32445	32443
357	0	32447	32446
358	1	32448	32446
359	2	32125	32446
360	0	32217	32449
361	1	32450	32449
362	0	32452	32451
363	1	32453	32451
364	0	32405	32454
365	1	32455	32454
366	0	32457	32456
367	0	32459	32458
368	1	32460	32458
369	0	32462	32461
370	0	32464	32463
371	1	32465	32463
372	0	32467	32466
373	1	32468	32466
374	0	32470	32469
375	1	32471	32469
376	0	32473	32472
377	1	32474	32472
378	0	32476	32475
379	1	32477	32475
380	2	32478	32475
381	0	32480	32479
382	1	32481	32479
383	2	32482	32479
384	3	32483	32479
385	0	32485	32484
386	0	32487	32486
387	0	32489	32488
388	0	32399	32490
389	1	32491	32490
390	2	32492	32490
391	0	32494	32493
392	1	32495	32493
393	0	32497	32496
394	1	32498	32496
395	0	32500	32499
396	1	32501	32499
397	2	32502	32499
398	0	32125	32503
399	1	32126	32503
400	2	32127	32503
401	0	32505	32504
402	0	32507	32506
403	0	32509	32508
404	1	32510	32508
405	2	32511	32508
406	0	32513	32512
407	0	32507	32514
408	0	32509	32515
409	1	32510	32515
410	2	32511	32515
411	0	32513	32516
412	0	32518	32517
413	1	32519	32517
414	2	32520	32517
415	0	32522	32521
416	0	32201	32523
417	0	32525	32524
418	0	32525	32526
419	0	32201	32527
420	0	32525	32528
421	0	32525	32529
422	0	32531	32530
423	1	32532	32530
424	2	32533	32530
425	0	32535	32534
426	0	32537	32536
427	1	32538	32536
428	2	32539	32536
429	0	32447	32540
430	1	32541	32540
431	2	32542	32540
432	0	32544	32543
433	1	32167	32543
434	2	32545	32543
435	3	32489	32543
436	0	32547	32546
437	1	32548	32546
438	0	32550	32549
439	0	32552	32551
440	1	32553	32551
441	2	32554	32551
442	0	32125	32555
443	1	32135	32555
444	0	32557	32556
445	1	32125	32556
446	0	32362	32558
447	1	32363	32558
448	0	32560	32559
449	1	32444	32559
450	0	32562	32561
451	0	32564	32563
452	0	32566	32565
