bmkegId	uidValue	publication_id
57	pmid-5433197	32106
58	pmid-5433196	32109
59	pmid-5433195	32111
60	pmid-4914800	32117
61	pmid-4317449	32119
62	pmid-4194242	32122
63	pmid-5422534	32124
64	pmid-5422533	32128
65	pmid-5422532	32131
66	pmid-5422531	32134
67	pmid-5422530	32136
68	pmid-5440322	32138
69	pmid-5440321	32143
70	pmid-5440320	32146
71	pmid-5440319	32148
72	pmid-5440318	32151
73	pmid-4191627	32154
74	pmid-4191626	32156
75	pmid-5435297	32159
76	pmid-5435296	32161
77	pmid-5435295	32164
78	pmid-4907846	32166
79	pmid-4907845	32171
80	pmid-5442836	32173
81	pmid-5442834	32175
82	pmid-4986159	32178
83	pmid-4986158	32181
84	pmid-4986157	32183
85	pmid-4986156	32185
86	pmid-5413323	32188
87	pmid-5413322	32190
88	pmid-5413321	32193
89	pmid-5413319	32195
90	pmid-5413318	32197
91	pmid-5413317	32200
92	pmid-4189834	32202
93	pmid-5460947	32205
94	pmid-5412721	32207
95	pmid-5412720	32210
96	pmid-5412719	32213
97	pmid-5412718	32216
98	pmid-5412717	32219
99	pmid-5412716	32220
100	pmid-5412715	32223
132	pmid-4927593	32308
133	pmid-4101343	32310
134	pmid-4101342	32312
135	pmid-4101341	32315
136	pmid-4101340	32316
137	pmid-4101339	32318
138	pmid-5541352	32320
139	pmid-5541351	32324
140	pmid-5541350	32330
141	pmid-5541349	32333
142	pmid-5538891	32336
143	pmid-5538890	32338
144	pmid-5538889	32342
145	pmid-5538888	32344
146	pmid-5538887	32347
147	pmid-5538886	32350
148	pmid-5538885	32352
149	pmid-4992481	32355
150	pmid-4099211	32358
151	pmid-5485875	32361
152	pmid-4249601	32364
153	pmid-4098652	32368
154	pmid-5476889	32370
155	pmid-5476888	32372
156	pmid-5476887	32375
157	pmid-5476886	32377
158	pmid-5476885	32379
159	pmid-4097714	32381
160	pmid-4097713	32383
161	pmid-5471855	32385
162	pmid-4990560	32387
163	pmid-4319510	32390
164	pmid-4097270	32392
165	pmid-5459214	32393
166	pmid-5459213	32397
167	pmid-5459212	32400
168	pmid-5459211	32403
169	pmid-5459210	32404
170	pmid-5459209	32408
171	pmid-5459208	32411
172	pmid-5457614	32412
173	pmid-5457613	32415
174	pmid-4989747	32417
175	pmid-4917615	32418
176	pmid-4195699	32420
177	pmid-4195698	32422
178	pmid-4988377	32426
179	pmid-5134324	32429
180	pmid-5134323	32431
181	pmid-5134322	32433
182	pmid-5134321	32436
183	pmid-5002573	32440
184	pmid-5148973	32442
185	pmid-5148972	32443
186	pmid-5148971	32446
187	pmid-5004652	32449
188	pmid-4337450	32451
189	pmid-5097580	32454
190	pmid-5097579	32456
191	pmid-4938346	32458
192	pmid-4938345	32461
193	pmid-4329004	32463
194	pmid-4255497	32466
195	pmid-4106465	32469
196	pmid-5111883	32472
197	pmid-5000072	32475
198	pmid-4106863	32479
199	pmid-4106862	32484
200	pmid-4106861	32486
201	pmid-4106860	32488
202	pmid-5566083	32490
203	pmid-5566082	32493
204	pmid-5566081	32496
205	pmid-5566080	32499
206	pmid-5566079	32503
207	pmid-4105287	32504
208	pmid-5561005	32506
209	pmid-5561004	32508
210	pmid-5561003	32512
211	pmid-5110728	32514
212	pmid-5110727	32515
213	pmid-5110726	32516
214	pmid-4999902	32517
215	pmid-4106740	32521
216	pmid-4106739	32523
217	pmid-4106738	32524
