bmkegId	viewType	locked	vpdmfLabel	namespace	thumbnail
1	.Journal.%	\N	AADE Ed J.	\N	\N
2	.Journal.%	\N	AANA J.	\N	\N
3	.Journal.%	\N	AARN News Lett.	\N	\N
4	.Journal.%	\N	Nippon Shika Hyoron.	\N	\N
5	.Journal.%	\N	Acad Peru Cir.	\N	\N
6	.Journal.%	\N	Acad Rev Calif Acad Periodontol.	\N	\N
7	.Journal.%	\N	Acarologia.	\N	\N
9	.Journal.%	\N	Acquis Med Recent.	\N	\N
11	.Journal.%	\N	Act Nerv Super (Praha).	\N	\N
12	.Journal.%	\N	Acta Allergol.	\N	\N
13	.Journal.%	\N	Acta Anaesthesiol.	\N	\N
14	.Journal.%	\N	Acta Anaesthesiol Belg.	\N	\N
15	.Journal.%	\N	Acta Anaesthesiol Scand.	\N	\N
16	.Journal.%	\N	Acta Anaesthesiol Scand Suppl.	\N	\N
17	.Journal.%	\N	Acta Anat (Basel).	\N	\N
18	.Journal.%	\N	Kaibogaku Zasshi.	\N	\N
19	.Journal.%	\N	Acta Biochim Biophys Acad Sci Hung.	\N	\N
20	.Journal.%	\N	Acta Biochim Pol.	\N	\N
21	.Journal.%	\N	Across Board (NY).	\N	\N
22	.Journal.%	\N	Acta Biol.	\N	\N
23	.Journal.%	\N	Acad Manage Rev.	\N	\N
24	.Journal.%	\N	Acta Biochim Biophys Hung.	\N	\N
25	.Journal.%	\N	Acta Biol Exp (Warsz).	\N	\N
27	.Journal.%	\N	Acad Manage J.	\N	\N
28	.Journal.%	\N	Acta Belg Med Phys.	\N	\N
29	.Journal.%	\N	Shi Yan Sheng Wu Xue Bao.	\N	\N
30	.Journal.%	\N	Acta Biol Hung.	\N	\N
31	.Journal.%	\N	Acta Biol Med (Gdansk).	\N	\N
32	.Journal.%	\N	Acta Biol Med Ger.	\N	\N
33	.Journal.%	\N	Acta Biomed Ateneo Parmense.	\N	\N
34	.Journal.%	\N	Acta Biotheor.	\N	\N
35	.Journal.%	\N	Acta Cancerol (Lima).	\N	\N
36	.Journal.%	\N	Acta Cardiol.	\N	\N
38	.Journal.%	\N	Acta Chem Scand A.	\N	\N
39	.Journal.%	\N	Acta Chem Scand B.	\N	\N
40	.Journal.%	\N	Acta Chir Acad Sci Hung.	\N	\N
41	.Journal.%	\N	Acta Chir Hung.	\N	\N
42	.Journal.%	\N	Acta Cardiol Suppl.	\N	\N
43	.Journal.%	\N	Acta Chir Belg.	\N	\N
44	.Journal.%	\N	Acta Chir Ital.	\N	\N
45	.Journal.%	\N	Acta Chir Iugosl.	\N	\N
46	.Journal.%	\N	Acta Chir Orthop Traumatol Cech.	\N	\N
47	.Journal.%	\N	Acta Chir Plast.	\N	\N
48	.Journal.%	\N	Acta Chir Scand.	\N	\N
49	.Journal.%	\N	Acta Chir Scand Suppl.	\N	\N
