bmkegId	journalTitle	nlmId	abbr	ISSN
1	AADE editors' journal.	7708172	AADE Ed J	0160-6999
2	AANA journal.	431420	AANA J	0094-6354
3	AARN news letter.	1251052	AARN News Lett	0001-0197
4	[Nippon shika hyoron] The Nippon dental review.	19130390R	Nippon Shika Hyoron	0289-0909
5	Academia Peruana de Cirugia.	14490460R	Acad Peru Cir	0001-3854
6	"Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale."	7503275	Acad Rev Calif Acad Periodontol	0008-0810
7	Acarologia.	14510400R	Acarologia	0044-586X
9	Acquisitions medicales recentes.	373054	Acquis Med Recent	0075-4463
11	Activitas nervosa superior.	400662	Act Nerv Super (Praha)	0001-7604
12	Acta allergologica.	370567	Acta Allergol	0001-5148
13	Acta anaesthesiologica.	340732	Acta Anaesthesiol	0001-5156
14	Acta anaesthesiologica Belgica.	421022	Acta Anaesthesiol Belg	0001-5164
15	Acta anaesthesiologica Scandinavica.	370270	Acta Anaesthesiol Scand	0001-5172
16	Acta anaesthesiologica Scandinavica. Supplementum.	370271	Acta Anaesthesiol Scand Suppl	0515-2720
17	Acta anatomica.	370272	Acta Anat (Basel)	0001-5180
18	Kaibogaku zasshi. Journal of anatomy.	413526	Kaibogaku Zasshi	0022-7722
19	Acta biochimica et biophysica; Academiae Scientiarum Hungaricae.	67725	Acta Biochim Biophys Acad Sci Hung	\N
20	Acta biochimica Polonica.	14520300R	Acta Biochim Pol	0001-527X
21	Across the board.	9877747	Across Board (NY)	0147-1554
22	Acta biologica.	370274	Acta Biol	0001-5288
23	Academy of management review. Academy of Management.	9877758	Acad Manage Rev	0363-7425
24	Acta biochimica et biophysica Hungarica.	8701158	Acta Biochim Biophys Hung	0237-6261
25	Acta biologiae experimentalis.	1246764	Acta Biol Exp (Warsz)	0365-0820
27	Academy of Management journal. Academy of Management.	7703609	Acad Manage J	0001-4273
28	Acta Belgica. Medica physica	8307581	Acta Belg Med Phys	0771-5684
29	Shi yan sheng wu xue bao = Journal of experimental biology.	413570	Shi Yan Sheng Wu Xue Bao	0001-5334
30	Acta biologica Hungarica.	8404358	Acta Biol Hung	0236-5383
31	Acta biologica et medica.	370275	Acta Biol Med (Gdansk)	0065-1087
32	Acta biologica et medica Germanica.	370276	Acta Biol Med Ger	0001-5318
33	Acta bio-medica de L'Ateneo parmense	8106323	Acta Biomed Ateneo Parmense	0392-4203
34	Acta biotheoretica.	421520	Acta Biotheor	0001-5342
35	Acta cancerologica.	370300	Acta Cancerol (Lima)	0001-5377
36	Acta cardiologica.	370570	Acta Cardiol	0001-5385
38	Acta chemica Scandinavica. Series A	421761	Acta Chem Scand A	0302-4377
39	Acta chemica Scandinavica. Series B	421265	Acta Chem Scand B	0302-4369
40	Acta chirurgica Academiae Scientiarum Hungaricae.	2984283R	Acta Chir Acad Sci Hung	0001-5431
41	Acta chirurgica Hungarica.	8309977	Acta Chir Hung	0231-4614
42	Acta cardiologica. Supplementum.	376316	Acta Cardiol Suppl	0373-7934
43	Acta chirurgica Belgica.	370571	Acta Chir Belg	0001-5458
44	Acta chirurgica Italica.	370303	Acta Chir Ital	0001-5466
45	Acta chirurgica Iugoslavica.	372631	Acta Chir Iugosl	0354-950x
46	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca.	407123	Acta Chir Orthop Traumatol Cech	0001-5415
47	Acta chirurgiae plasticae.	370301	Acta Chir Plast	0001-5423
48	Acta chirurgica Scandinavica.	7906530	Acta Chir Scand	0001-5482
49	Acta chirurgica Scandinavica. Supplementum.	370305	Acta Chir Scand Suppl	0301-1860
50	Acta cientifica venezolana.	70154	Acta Cient Venez	0001-5504
